strSampleName	strExperimentType	strDataset	strTCRType	strCondition	strTimePoint	strCellType	strCellSort	strToxoGroup	strExpSetting	strPairType	bamRawData	fastq1RawData	fastq2RawData	strAlignmentGenome	strExperimentBatch	strSequencingBatch	dirRNAOut	strSRARun	dirRNACollect
F5B-3	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5B-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5C-1	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5C-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5C-2	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5C-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5C-3	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5C-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIA-1	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIA-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIA-2	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIA-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIA-3	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIA-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIB-1	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIB-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIB-2	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIB-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIB-3	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIB-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIC-1	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIC-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIC-2	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIC-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIC-3	rna_bulk	Round1_InVivoRNA-Seq	OT1	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIC-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIIA-1	rna_bulk	Round1_InVivoRNA-Seq	OT2	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIIA-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIIB-1	rna_bulk	Round1_InVivoRNA-Seq	OT2	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIIB-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
OTIIB-2	rna_bulk	Round1_InVivoRNA-Seq	OT2	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/OTIIB-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6A-1	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6A-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6A-2	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6A-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6A-3	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6A-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6B-1	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6B-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6B-2	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6B-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6C-1	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6C-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6C-2	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6C-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
TG6C-3	rna_bulk	Round1_InVivoRNA-Seq	TG6	class-1 restricted	1-CL1R	immature CD8	CD4+CD8+CXCR4+CCR7-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/TG6C-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
C2A-1	rna_bulk	Round1_InVivoRNA-Seq	CD8_polyclonal	class-1 restricted	1-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/C2A-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
C2A-2	rna_bulk	Round1_InVivoRNA-Seq	CD8_polyclonal	class-1 restricted	2-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/C2A-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
C2A-3	rna_bulk	Round1_InVivoRNA-Seq	CD8_polyclonal	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/C2A-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
C2B-3	rna_bulk	Round1_InVivoRNA-Seq	CD8_polyclonal	class-1 restricted	3-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/C2B-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-1A	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3+ KLRG1-	T_mem	in vivo	single				mm10	Toxo Exp1 Mouse1	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-1A		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-1B	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3+ KLRG1+	T_int	in vivo 	single				mm10	Toxo Exp1 Mouse1	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-1B		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-1C	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3- KLRG1+	T_eff	in vivo	single				mm10	Toxo Exp1 Mouse1	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-1C		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-2A	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3+ KLRG1-	T_mem	in vivo	single				mm10	Toxo Exp1 Mouse2	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-2A		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-2C	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3- KLRG1+	T_eff	in vivo	single				mm10	Toxo Exp1 Mouse2	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-2C		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-3B	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3+ KLRG1+	T_int	in vivo	single				mm10	Toxo Exp2 Mouse1	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-3B		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-3C	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3- KLRG1+	T_eff	in vivo	single				mm10	Toxo Exp2 Mouse1	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-3C		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-4A	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3+ KLRG1-	T_mem	in vivo	single				mm10	Toxo Exp2 Mouse2	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-4A		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-4B	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3+ KLRG1+	T_int	in vivo	single				mm10	Toxo Exp2 Mouse2	Toxo_June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_2/IndividualSamples/GRA6-4B		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
GRA6-4C	rna_bulk	Round1_InVivoRNA-Seq	GRA6 polyclonal	toxo infected B6xB6C	6wks	mature CD8	CD8+ CD44+ GRA6 tetramer+ CXCR3- KLRG1+	T_eff	in vivo	single				mm10	Toxo Exp2 Mouse2	Toxo_July2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round2_1/IndividualSamples/GRA6-4C		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
2D2DP12	rna_bulk	Round3_March2018	2D2	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/2D2DP12		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
2D2SP12	rna_bulk	Round3_March2018	2D2	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/2D2SP12		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
2D2SP14	rna_bulk	Round3_March2018	2D2	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/2D2SP14		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
2D2SP24	rna_bulk	Round3_March2018	2D2	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/2D2SP24		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
F508DP21	rna_bulk	Round3_March2018	F508	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/F508DP21		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
F508DP32	rna_bulk	Round3_March2018	F508	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/F508DP32		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
F508SP11	rna_bulk	Round3_March2018	F508	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/F508SP11		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
F508SP22	rna_bulk	Round3_March2018	F508	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/F508SP22		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
OT2DP11	rna_bulk	Round3_March2018	OT2	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/OT2DP11		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
OT2SP11	rna_bulk	Round3_March2018	OT2	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		Mar-18	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/IndividualSamples/OT2SP11		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round3_March2018_Combined/Collected/
