ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
10557591,0.004021885679148039,2.1076088183000316e-4,-7.106499604179499,-3.763174656734031,-1902.3471666666674,Itgal,integrin alpha L
10358224,0.003643494734027181,0.00017809415566480739,-7.303703781193858,-3.7560641387551126,-1886.1710000000012,Ptprc,"protein tyrosine phosphatase, receptor type, C"
10486061,0.012940948500837582,0.0013552634454372077,-5.1830271114286965,-3.8672714408246396,-1869.8202333333347,Rasgrp1,RAS guanyl releasing protein 1
10393754,0.006080395025237519,4.1174193316050717e-4,-6.363002164728797,-3.7948787694971684,-1822.9905666666682,Actg1///Actb,"actin, gamma, cytoplasmic 1///actin, beta"
10365971,0.003081280879177689,1.3315703020922763e-4,-7.654511684120556,-3.7445294365853194,-1751.3506666666667,Btg1,"B cell translocation gene 1, anti-proliferative"
10387932,0.011324887082637302,0.0011014977244327429,-5.376529692072968,-3.8530049995771676,-1656.7327333333342,Pfn1,profilin 1
10544583,0.0030376721861198877,1.29526562954532e-4,-7.688559439011545,-3.74347986874276,-1654.0774333333338,Gimap6,"GTPase, IMAP family member 6"
10506424,0.016873815631621058,0.001993279561010047,-4.8349210131020115,-3.8959159869224216,-1612.9619333333349,Actg1///Actb,"actin, gamma, cytoplasmic 1///actin, beta"
10552964,3.500586763934756e-4,2.3176182330841616e-6,-14.29360082763105,-3.65198889930675,-1580.6682666666675,Gm10252,predicted gene 10252
10514668,0.0019546531648027238,6.0705463026936375e-5,-8.672128276776473,-3.7176056031974865,-1564.0748666666668,Jak1,Janus kinase 1
10364262,0.0017534208270754263,5.074488477291147e-5,-8.919633976133019,-3.7122396036097154,-1556.4439333333346,Itgb2,integrin beta 2
10385428,0.007629682157383155,5.982023487491648e-4,-5.974608116313199,-3.8151914285735655,-1484.5284000000008,Itk,IL2 inducible T cell kinase
10530100,6.289374484684245e-4,6.611893567880876e-6,-12.204499141844707,-3.66690467768428,-1480.282333333334,Arap2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
10508663,0.27895420749521066,0.11770654225261355,-1.7882406700213127,-4.413758888731302,-1478.0616666666701,Laptm5,lysosomal-associated protein transmembrane 5
10568392,9.209261124018034e-4,1.6332932416403062e-5,-10.632695972847381,-3.683867487666327,-1474.045433333334,Rgs10,regulator of G-protein signalling 10
10354588,0.002029888830479823,6.593709619058505e-5,-8.559956292881646,-3.7201721007650193,-1465.596433333334,Stk17b,serine/threonine kinase 17b (apoptosis-inducing)
10606016,0.0985163838628664,0.02591184079211497,-2.830371602143662,-4.171163003382676,-1431.9526333333342,Il2rg,"interleukin 2 receptor, gamma chain"
10491058,0.0031684940926870993,1.4048575445065582e-4,-7.588871300654764,-3.7465864291138904,-1421.1968333333334,Rprl2,ribonuclease P RNA-like 2
10533945,0.04730244187167519,0.00902887874101432,-3.600096736034096,-4.0383243031727725,-1333.0286000000015,Ubc///Gm10382///Ubc,ubiquitin C///predicted gene 10382///ubiquitin C
10597420,0.0013596381329172528,3.23336547218279e-5,-9.569178067392961,-3.6998716811688324,-1325.7165000000002,Ccr4,chemokine (C-C motif) receptor 4
10515429,0.008129209416219085,6.575911316546697e-4,-5.8789824023551525,-3.8206656236640795,-1324.9270000000008,Snord55,"small nucleolar RNA, C/D box 55"
10430201,0.030222892813811596,0.004679629006300314,-4.114662264419385,-3.9699899171502286,-1319.6517000000001,Myh9,"myosin, heavy polypeptide 9, non-muscle"
10350046,0.0022319537198730323,7.719079725884583e-5,-8.349541191568866,-3.7252301028867723,-1317.6590666666666,Kdm5b,lysine (K)-specific demethylase 5B
10586168,0.03600334663660809,0.006022938929570095,-3.9133577194907487,-3.994994396489629,-1311.3012666666668,Snord16a,"small nucleolar RNA, C/D box 16A"
10446334,0.013801621039181575,0.0014902560876509758,-5.095935610338388,-3.874063014529773,-1278.7367,Glcci1,glucocorticoid induced transcript 1
10584142,0.014707856197339577,0.0016198820866365237,-5.020207308185276,-3.880165985963334,-1276.4529333333342,Ets1,"E26 avian leukemia oncogene 1, 5' domain"
10406417,0.055629353529280307,0.011466495027682887,-3.4202616629389,-4.065844801270228,-1270.6435333333347,Actg1///Actb,"actin, gamma, cytoplasmic 1///actin, beta"
10466054,0.0044248712295532015,2.4394711404900944e-4,-6.9387064384953385,-3.7696175874732747,-1258.8393666666668,Cd6,CD6 antigen
10420957,0.010704471331234994,0.0010067924243806607,-5.46189981827685,-3.8470519530540277,-1253.360266666667,Ptk2b,PTK2 protein tyrosine kinase 2 beta
10469255,0.0022293505588973197,7.684022671105038e-5,-8.355557554898864,-3.7250808795222907,-1216.9774333333337,Prkcq,"protein kinase C, theta"
10607865,0.003596910042368285,1.743466548102435e-4,-7.3289132243305,-3.755189171579999,-1205.3304999999998,Tmsb4x,"thymosin, beta 4, X chromosome"
10593015,0.1472676211464666,0.04606935609783621,-2.430220423746329,-4.256465350229817,-1183.5674,Cd3g,"CD3 antigen, gamma polypeptide"
10535381,0.3459100902666819,0.16481333515806693,-1.5546166449474943,-4.474464905703831,-1177.277399999999,Actb,"actin, beta"
10563295,0.00203164017699266,6.62605268575816e-5,-8.553355601692845,-3.7203258650121738,-1158.405033333333,Mir692-3///Mir692-2///Ftl1,microRNA 692-3///microRNA 692-2///ferritin light polypeptide 1
10568024,0.1336440311426954,0.039811142251960946,-2.530857864281134,-4.233965431771702,-1145.510066666668,Coro1a,"coronin, actin binding protein 1A"
10565813,0.02624965374119079,0.0038156848873649005,-4.281153530722355,-3.9508422461892314,-1133.3218000000002,Snord15a,"small nucleolar RNA, C/D box 15A"
10559207,0.025769340203502442,0.003708956877857446,-4.304567678023739,-3.9482547702515487,-1109.5344333333342,Lsp1,lymphocyte specific 1
10391103,0.0108132131773484,0.001027119481721891,-5.442840594112466,-3.8483636097746827,-1075.6555666666668,Jup,junction plakoglobin
10536170,0.007398171953780129,5.732232582757977e-4,-6.018061551471231,-3.812768928794852,-1066.6830333333337,Rn45s///Baiap2l1///Rn18s,45S pre-ribosomal RNA///BAI1-associated protein 2-like 1///18S ribosomal RNA
10406198,0.0028199773636929976,1.1428365048270313e-4,-7.844326064444351,-3.7388244529126715,-1057.2260333333336,Mir692-3///Mir692-2///Ftl1,microRNA 692-3///microRNA 692-2///ferritin light polypeptide 1
10562260,0.0010163473555943757,1.986041096920235e-5,-10.317926668346216,-3.6881407253110776,-1027.2702333333334,Gramd1a,GRAM domain containing 1A
10459766,0.07610434427638306,0.01792522674353457,-3.0929457502274467,-4.121326420821359,-1024.4606666666673,Scarna17,small Cajal body-specific RNA 17
10387372,0.023018218415222357,0.0031328864803962055,-4.445299769096581,-3.933224274068304,-1020.3540000000004,Kdm6b,KDM1 lysine (K)-specific demethylase 6B
10364593,0.0010454471070917351,2.0736912567870926e-5,-10.24954265644696,-3.6891166165161855,-996.1962333333337,Cnn2,calponin 2
10605256,0.027907705106623968,0.004171262399573641,-4.208053980362334,-3.9590852842452726,-975.1962000000003,Flna,"filamin, alpha"
10485081,0.008794456711283658,7.407551231163582e-4,-5.760221479004228,-3.827749313551023,-970.8870333333334,Dgkz,diacylglycerol kinase zeta
10508069,8.510421212252241e-4,1.3659290927296752e-5,-10.927974148808625,-3.6801617663116697,-963.9386666666671,Mir692-3///Mir692-2///Ftl1,microRNA 692-3///microRNA 692-2///ferritin light polypeptide 1
10485213,0.0014729868957178603,3.798033389545213e-5,-9.33263794857723,-3.704111215970918,-963.1584666666673,Cd82,CD82 antigen
10475866,4.775918892385544e-6,1.6235704933656938e-9,-41.70338766233402,-3.6148376068478365,-953.8510666666668,Bcl2l11,BCL2-like 11 (apoptosis facilitator)
10555389,0.13067095895769631,0.03861614688722548,-2.5519293724513443,-4.229341652037477,-942.2797333333338,Ucp2,"uncoupling protein 2 (mitochondrial, proton carrier)"
10449893,0.0026819430212536226,1.040622302203777e-4,-7.962583467698624,-3.7354437975242467,-938.8213333333338,Rasal3,RAS protein activator like 3
10426751,0.004771531084750762,2.757003756536834e-4,-6.8006892450135314,-3.775208327479478,-932.443766666667,Tmbim6,transmembrane BAX inhibitor motif containing 6
10517165,0.003232552258473517,1.448824682094101e-4,-7.551323620858443,-3.747783313583351,-922.2921999999999,Cd52,CD52 antigen
10542677,0.003430231509164267,1.5911502214975535e-4,-7.438075465393952,-3.751485216319925,-922.0506666666668,Etnk1,ethanolamine kinase 1
10373313,0.006077558482202775,4.104217528909105e-4,-6.366419926091107,-3.7947127294133303,-911.9337000000004,Nab2,Ngfi-A binding protein 2
10404848,0.00859289124682835,7.175454644195868e-4,-5.791801159786981,-3.825833988856387,-911.184466666667,Jarid2,"jumonji, AT rich interactive domain 2"
10587854,0.00627177852689445,4.3511375784449505e-4,-6.304458424598371,-3.7977556282368417,-900.3362333333337,Slc9a9,"solute carrier family 9 (sodium/hydrogen exchanger), member 9"
10362596,0.004451405001447251,2.465574751464626e-4,-6.926615329678983,-3.7700965902621704,-894.6194666666671,Fyn,Fyn proto-oncogene
10482802,0.015932657599579018,0.001832236444923901,-4.909655656629483,-3.8894195352596954,-894.3852333333339,Cytip,cytohesin 1 interacting protein
10529689,0.0030624199731789045,1.313589178769059e-4,-7.671241957792047,-3.7440122353130354,-886.0710333333332,Wdr1,WD repeat domain 1
10547985,0.006760199915936598,4.936828443545706e-4,-6.172048006742122,-3.80449716921833,-883.938366666667,Cd27,CD27 antigen
10479981,0.058588436766963306,0.012292710691535636,-3.3685616457401855,-4.074135565752583,-880.7869666666672,Gata3,GATA binding protein 3
10598087,0.01250624643852083,0.0012889680314763935,-5.229412893006021,-3.8637502020879255,-879.4378999999999,ND6///Acsm2,NADH dehydrogenase subunit 6///acyl-CoA synthetase medium-chain family member 2
10593024,0.14250348061405058,0.04396511905286726,-2.462393726448331,-4.249198021162838,-878.766233333333,Cd3e,"CD3 antigen, epsilon polypeptide"
10510546,0.0045514524730886395,2.5622694084517143e-4,-6.883052469851308,-3.7718393379752087,-873.5175333333336,Eno1,"enolase 1, alpha non-neuron"
10529252,0.03688186064356871,0.006242183139177145,-3.885225235380637,-3.998659255605706,-870.2570666666668,Prr14l,proline rich 14-like
10568202,0.005361153362651554,3.3464119606511027e-4,-6.58650062476561,-3.784446183245732,-869.4541333333339,Sept1,septin 1
10392251,0.04155218001088883,0.007432497963534204,-3.7492242618268268,-4.016994602965533,-853.1455333333338,Ddx5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5
10572456,0.0014729868957178603,3.788911995648553e-5,-9.33613358670425,-3.7040464706800464,-849.9304666666671,Jund,jun D proto-oncogene
10364702,0.02532434496406287,0.0036134086627159765,-4.326167955002946,-3.945890082385154,-849.0490666666668,Midn,midnolin
10352234,0.050157548990062625,0.009851585037571485,-3.534066589808986,-4.048195101836291,-837.7387333333335,Itpkb,"inositol 1,4,5-trisphosphate 3-kinase B"
10596704,0.12729925925174826,0.03725196604297408,-2.5768278296546416,-4.223917615574013,-824.8165000000004,Gnai2,"guanine nucleotide binding protein (G protein), alpha inhibiting 2"
10373542,0.06571037922893237,0.014562170952627938,-3.243827509558627,-4.094859208658953,-818.5672333333337,Dgka,"diacylglycerol kinase, alpha"
10416437,0.029522231819601372,0.00452037704131285,-4.1426680333765,-3.9666750632262784,-813.3498999999997,Lcp1,lymphocyte cytosolic protein 1
10491564,0.009068860900668961,7.761768839229152e-4,-5.71410232266004,-3.8305887886619,-808.5911666666668,4932438A13Rik,RIKEN cDNA 4932438A13 gene
10415065,0.020485834112525945,0.002629571596419649,-4.593965510968568,-3.9182746086342544,-808.1190333333337,Lrp10,low-density lipoprotein receptor-related protein 10
10347948,6.703361391573457e-4,8.257491161275385e-6,-11.799692621746292,-3.670680104603132,-804.8395333333335,Sp100,nuclear antigen Sp100
10559610,0.13663778713955232,0.041242883428486365,-2.5064586220294003,-4.239357477038695,-803.863800000001,Ppp6r1,"protein phosphatase 6, regulatory subunit 1"
10551030,0.00916255421779875,7.86769361451301e-4,-5.700767494098149,-3.831419286697023,-801.2424333333331,Arhgef1,Rho guanine nucleotide exchange factor (GEF) 1
10347297,0.00519965518693173,3.1764643236463117e-4,-6.643605161694462,-3.7819135669221198,-798.3723666666665,Arpc2,"actin related protein 2/3 complex, subunit 2"
10504838,0.009959395655622384,9.011490732456655e-4,-5.5684178140467075,-3.839899992049916,-796.2503666666669,Nr4a3,"nuclear receptor subfamily 4, group A, member 3"
10407173,0.033690227787271175,0.005465646988542292,-3.99023215764618,-3.9851965722045195,-791.4915666666666,Il6st,interleukin 6 signal transducer
10541803,0.10249649440513768,0.027395288018747296,-2.791192598294487,-4.17901751280055,-787.367933333333,Chd4,chromodomain helicase DNA binding protein 4
10360720,0.013375276626455525,0.0014249000659352948,-5.13695159852644,-3.8708347739669526,-780.6202000000004,Wdr26,WD repeat domain 26
10512514,0.10249649440513768,0.027409721305337812,-2.790822473840484,-4.17909223475492,-780.3707666666667,Tln1,talin 1
10589350,0.0021701742760941523,7.40168579841116e-5,-8.40517501172236,-3.7238607593587205,-776.1177333333338,Shisa5,shisa family member 5
10414784,0.006487060560101558,4.583786873581111e-4,-6.249592928973523,-3.800508851448183,-768.6184000000001,Trav4d-4///Trav3n-3///Trav3-3///Trav4d-4,T cell receptor alpha variable 4D-4///T cell receptor alpha variable 3N-3///T cell receptor alpha variable 3-3///T cell receptor alpha variable 4D-4
10560174,0.009500672406954782,8.295266494476208e-4,-5.6489124837043185,-3.8346900282250855,-768.3394666666669,Sepw1,"selenoprotein W, muscle 1"
10365729,7.22309322365949e-4,9.506358146859453e-6,-11.549583634548489,-3.673198753937924,-768.0868,Cdk17,cyclin-dependent kinase 17
10400405,0.003449564865253759,1.6125283155527765e-4,-7.422057892273176,-3.7520202187352383,-760.2739333333335,Nfkbia,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"
10470834,0.0017112002338146406,4.8818849460003585e-5,-8.973858714609653,-3.7111157522021716,-758.484066666667,Sptan1,"spectrin alpha, non-erythrocytic 1"
10491595,0.022394016132359765,0.0030155813393868617,-4.4774607048298645,-3.9299114320126898,-753.4305333333336,4932438A13Rik,RIKEN cDNA 4932438A13 gene
10511416,0.03244924259834602,0.005189899727028619,-4.031512006448567,-3.980063788360784,-752.8009333333335,Tox,thymocyte selection-associated high mobility group box
10356194,0.01458931168567562,0.0016016514233211016,-5.030441778682934,-3.8793301928973047,-752.0048333333335,Trip12,thyroid hormone receptor interactor 12
10396402,0.0024263172406488055,8.956792638620099e-5,-8.154971353778995,-3.7302100236438926,-751.4209666666668,Prkch,"protein kinase C, eta"
10461162,0.04692726021100191,0.008917723471603604,-3.6095161738867376,-4.036937874059207,-748.8241333333335,Snord22,"small nucleolar RNA, C/D box 22"
10366848,1.0863675041246289e-5,1.482083907400585e-8,-30.172686083939197,-3.6194751548644346,-748.169466666667,B4galnt1,"beta-1,4-N-acetyl-galactosaminyl transferase 1"
10348321,0.01395556630371343,0.0015124783157984903,-5.082444109392565,-3.875136638560285,-744.5305000000002,Dgkd,"diacylglycerol kinase, delta"
10368144,0.003635643517839171,1.768076375740741e-4,-7.312290086193628,-3.7557652857080033,-743.5865000000002,Tnfaip3,"tumor necrosis factor, alpha-induced protein 3"
10448182,0.19808640661612328,0.07069972662107442,-2.1370291492540923,-4.325701748747769,-719.7645333333335,Mir703///Eef1a1///D630045J12Rik///Eef1a1,microRNA 703///eukaryotic translation elongation factor 1 alpha 1///RIKEN cDNA D630045J12 gene///eukaryotic translation elongation factor 1 alpha 1
10444752,9.238917378640868e-5,2.5208505808024197e-7,-19.884468378577626,-3.6319564042493324,-714.9516000000003,Ltb,lymphotoxin B
10494306,0.005366325083319938,3.363373637808259e-4,-6.580981239357795,-3.7846937459208023,-714.4598999999998,Mcl1,myeloid cell leukemia sequence 1
10376163,9.560256681932597e-4,1.7709273488432617e-5,-10.50143426943128,-3.6856070110102612,-709.3763333333335,Rapgef6,Rap guanine nucleotide exchange factor (GEF) 6
10346191,0.0012321378055802977,2.7290749886859976e-5,-9.824028443873363,-3.6956073554724806,-704.008066666667,Stat1,signal transducer and activator of transcription 1
10432404,0.0016571591959321122,4.5215803436074005e-5,-9.082140614924874,-3.7089243615880667,-703.7177,Tuba1a,"tubulin, alpha 1A"
10551185,0.06390502294384759,0.013995410289203121,-3.272911628225173,-4.089934793575286,-701.7319333333339,Tgfb1,"transforming growth factor, beta 1"
10503695,0.015487933673108346,0.0017518233418800581,-4.9497568030334484,-3.8860146482163707,-695.4041333333333,Bach2,"BTB and CNC homology, basic leucine zipper transcription factor 2"
10491136,4.889145165879437e-4,4.0098042046791524e-06,-13.162802753327819,-3.659232605707494,-686.5301000000002,Tnik,TRAF2 and NCK interacting kinase
10447591,0.001395847656539698,3.446123868625103e-5,-9.474908797592956,-3.7015274073928834,-679.8718333333336,Ftl1,ferritin light polypeptide 1
10444780,0.012562782597741481,0.0012985205028401435,-5.222567205708988,-3.8642657561681277,-672.1515000000005,H2-L///H2-D1///LOC547349///5430410E06Rik///H2-L///H2-K1///H2-D1,"histocompatibility 2, D region locus L///histocompatibility 2, D region locus 1///MHC class I family member///RIKEN cDNA 5430410E06 gene///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 1"
10532620,0.016757595365547297,0.001968792200879644,-4.845843126834887,-3.894954108076226,-665.70479999999975,Myo18b,myosin XVIIIb
10551891,0.003737515106481331,1.862608844494749e-4,-7.250782704911854,-3.7579254761416494,-658.963766666667,Nfkbid,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta"
10444830,0.024909269158234625,0.00352921406250331,-4.345730036386416,-3.943766853301101,-657.8113333333331,Gm11127///Gm38417///Gm8909///H2-T-ps///H2-K2///LOC547349///H2-Q9///H2-Q6///Gm10499///H2-T23///H2-T22///H2-Q8///H2-Q7///H2-Q5///H2-Q4///H2-Q2///H2-Q10///H2-Q1///H2-L///H2-K1///H2-D4///H2-D1///H2-Bl///LOC547349///5430410E06Rik///Gm10499///H2-Q5///H2-L///H2-K1///H2-D1,"predicted gene 11127///predicted gene, 38417///predicted gene 8909///histocompatibility 2, T region locus, pseudogene///histocompatibility 2, K region locus 2///MHC class I family member///histocompatibility 2, Q region locus 9///histocompatibility 2, Q region locus 6///predicted gene 10499///histocompatibility 2, T region locus 23///histocompatibility 2, T region locus 22///histocompatibility 2, Q region locus 8///histocompatibility 2, Q region locus 7///histocompatibility 2, Q region locus 5///histocompatibility 2, Q region locus 4///histocompatibility 2, Q region locus 2///histocompatibility 2, Q region locus 10///histocompatibility 2, Q region locus 1///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 4///histocompatibility 2, D region locus 1///histocompatibility 2, blastocyst///MHC class I family member///RIKEN cDNA 5430410E06 gene///predicted gene 10499///histocompatibility 2, Q region locus 5///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 1"
10364650,0.010536274391895143,9.807262741556135e-4,-5.486979374724449,-3.84534094497757,-656.8985333333335,Hmha1,histocompatibility (minor) HA-1
10392063,0.0016121423065482037,4.359938667095295e-5,-9.13394785550842,-3.707900139529371,-656.7532666666666,Limd2,LIM domain containing 2
10575598,0.027683585437429714,0.004127288427487337,-4.216714678766241,-3.9580954574217224,-652.6963666666666,Znrf1,zinc and ring finger 1
10502299,2.4950348790870843e-4,1.3886283457522023e-6,-15.432354519332991,-3.646173412450005,-651.2315000000001,Nfkb1,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105"
10548333,4.0948031512922327e-4,3.0232075268348083e-6,-13.734453323409124,-3.655359372611111,-650.1592000000002,Cd69,CD69 antigen
10538126,0.007887215122693978,6.30103736027755e-4,-5.921983232566581,-3.8181792827826397,-647.2450666666668,Gimap4,"GTPase, IMAP family member 4"
10414950,0.005934866728702542,3.943559627129207e-4,-6.409030735089877,-3.7926600427139503,-642.4903333333334,Trav14-1///Trav14-1,T cell receptor alpha variable 14-1///T cell receptor alpha variable 14-1
10432256,9.291186326379534e-4,1.6608074468214504e-5,-10.605472564417248,-3.6842234288617073,-639.8599000000003,Arf3,ADP-ribosylation factor 3
10480347,0.0065843322083924015,4.7159268886848716e-4,-6.219806679167807,-3.8020272152010013,-639.7488000000003,Pip4k2a,"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha"
10550877,0.024947959479838987,0.0035406842420427935,-4.34303491074882,-3.944058347924231,-635.2101333333334,Kcnn4,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
10603659,0.03384355469365028,0.0054984573049751215,-3.985472878416453,-3.9857940603667954,-629.3916666666669,Med14,mediator complex subunit 14
10537657,8.270488485223236e-4,1.2627575053710521e-5,-11.060025285156167,-3.6785919045974014,-623.3286333333333,Ephb6,Eph receptor B6
10385118,0.037552020172065645,0.006421904741727942,-3.8629581778140674,-4.001590651094647,-623.0127333333336,Dock2,dedicator of cyto-kinesis 2
10561306,6.112300061256457e-5,1.4470175090848684e-7,-21.583458690605365,-3.6286470498680377,-621.1912000000002,Pld3,"phospholipase D family, member 3"
10557342,0.009726249109294439,8.640524648093205e-4,-5.609177845062296,-3.837241352947561,-621.0018,Il21r,interleukin 21 receptor
10516051,0.011630094135408359,0.0011498496087651953,-5.336050475787536,-3.8558989528277485,-620.1612000000002,Cap1,"CAP, adenylate cyclase-associated protein 1 (yeast)"
10354704,0.011782305064137882,0.0011719381344633642,-5.3181862647337255,-3.857191011634359,-616.6904,Sf3b1,"splicing factor 3b, subunit 1"
10574149,0.007028657271340604,5.299272535450203e-4,-6.098665334493887,-3.808379374331661,-616.437466666667,Nlrc5,"NLR family, CARD domain containing 5"
10454782,0.005666353820941216,3.6582791501060975e-4,-6.4897389630981035,-3.7888587888883665,-615.7480333333333,Egr1,early growth response 1
10353624,0.27161787546950034,0.1129761213833898,-1.8164489325264557,-4.406478535495457,-614.0005666666666,,
10408450,0.2329721447131929,0.08998434575913632,-1.9723336003314516,-4.366675375156675,-611.6838666666671,Sox4,SRY (sex determining region Y)-box 4
10493177,0.03253911489457472,0.005209420475076829,-4.028511460063865,-3.980433901873666,-611.557166666667,Mef2d,myocyte enhancer factor 2D
10557326,0.02231270304513213,0.00300105050185711,-4.481540545190212,-3.9294943353544403,-611.4696000000002,Il4ra,"interleukin 4 receptor, alpha"
10600836,0.20465614602982687,0.07416279468494,-2.104385203526671,-4.333718047913863,-610.7345666666668,Msn,moesin
10474004,0.03470768970837387,0.0057140538830534465,-3.9549535171518126,-3.9896538808790147,-609.0920666666668,Gm9821,predicted gene 9821
10455238,2.337205770274128e-4,1.2379069162835442e-6,-15.699339769615786,-3.644982059902765,-601.9807333333335,Ndfip1,Nedd4 family interacting protein 1
10367843,0.008527047332076832,7.082492567771063e-4,-5.804772310434855,-3.825054011951382,-599.6861666666667,Utrn,utrophin
10379630,0.0030627614678039226,1.3149645977651058e-4,-7.669953095510513,-3.744051978218809,-599.6492000000001,Slfn2,schlafen 2
10542156,0.002877663790390395,1.1812254464205817e-4,-7.8029723164471365,-3.7400374611209073,-599.5120666666668,Clec2d,"C-type lectin domain family 2, member d"
